EMDB id,Status,Entry_Title,Entry_Authors,Deposit_Date,Map_Release,Resolution,Method,Detector,Energy_Filter,Associated_PDB,Citation_Authors,Citation_Year,Journal
EMD-0030,REL,Structure of activated transcription complex Pol II-DSIF-PAF-SPT6 (Map B  NGN/SPT4 selected particles),"Vos SM, Farnung L, Boehning M, Linden A, Wigge C, Urlaub H, Cramer P",5/26/2018,9/5/2018,3.3,singleParticle,GATAN K2 SUMMIT (4k x 4k),,,"Vos SM, Farnung L, Boehning M, Wigge C, Linden A, Urlaub H, Cramer P",2018,Nature
EMD-0031,REL,Structure of activated transcription complex Pol II-DSIF-PAF-SPT6 (Map A),"Vos SM, Farnung L, Boehing M, Linden A, Wigge C, Urlaub H, Cramer P",5/26/2018,8/22/2018,3.1,singleParticle,GATAN K2 SUMMIT (4k x 4k),,6gmh,"Vos SM, Farnung L, Boehning M, Wigge C, Linden A, Urlaub H, Cramer P",2018,Nature
EMD-0032,REL,Structure of activated transcription complex Pol II-DSIF-PAF-SPT6  KOW1 selected particles (Map C),"Vos SM, Farnung L, Boehning M, Linden A, Wigge C, Urlaub H, Cramer P",5/26/2018,9/5/2018,3.5,singleParticle,GATAN K2 SUMMIT (4k x 4k),,,"Vos SM, Farnung L, Boehning M, Wigge C, Linden A, Urlaub H, Cramer P",2018,Nature
EMD-0033,REL,Structure of activated transcription complex Pol II-DSIF-PAF-SPT6  KOWx-4 selected particles (Map D),"Vos SM, Farnung L, Boehning M, Linden A, Wigge C, Urlaub H, Cramer P",5/26/2018,9/5/2018,3.2,singleParticle,GATAN K2 SUMMIT (4k x 4k),,,"Vos SM, Farnung L, Boehning M, Wigge C, Linden A, Urlaub H, Cramer P",2018,Nature
EMD-0034,REL,Structure of activated transcription complex Pol II-DSIF-PAF-SPT6  SPT6 core selected particles (Map E),"Vos SM, Farnung L, Boehning M, Linden A, Wigge C, Urlaub H, Cramer P",5/26/2018,9/5/2018,3.3,singleParticle,GATAN K2 SUMMIT (4k x 4k),,,"Vos SM, Farnung L, Boehning M, Wigge C, Linden A, Urlaub H, Cramer P",2018,Nature
EMD-0035,REL,Structure of activated transcription complex Pol II-DSIF-PAF-SPT6  selected SPT6 tSH2 particles (Map F),"Vos SM, Farnung L, Boehning M, Linden A, Wigge C, Urlaub H, Cramer P",5/26/2018,9/5/2018,3.5,singleParticle,GATAN K2 SUMMIT (4k x 4k),,,"Vos SM, Farnung L, Boehning M, Wigge C, Linden A, Urlaub H, Cramer P",2018,Nature
EMD-0036,REL,Structure of activated transcription complex Pol II-DSIF-PAF-SPT6  upstream DNA selected particles (Map G),"Vos SM, Farnung L, Boehning M, Linden A, Wigge C, Urlaub H, Cramer P",5/26/2018,9/5/2018,3.1,singleParticle,GATAN K2 SUMMIT (4k x 4k),,,"Vos SM, Farnung L, Boehning M, Wigge C, Linden A, Urlaub H, Cramer P",2018,Nature
EMD-0037,REL,Structure of activated transcription complex Pol II-DSIF-PAF-SPT6  CTR9 selected particles (Map H),"Vos SM, Farnung L, Boehning M, Linden A, Wigge C, Urlaub H, Cramer P",5/26/2018,9/5/2018,3.3,singleParticle,GATAN K2 SUMMIT (4k x 4k),,,"Vos SM, Farnung L, Boehning M, Wigge C, Linden A, Urlaub H, Cramer P",2018,Nature
EMD-0038,REL,Structure of paused transcription complex Pol II-DSIF-NELF,"Vos SM, Farnung L, Urlaub H, Cramer P",5/27/2018,9/5/2018,3.2,singleParticle,GATAN K2 QUANTUM (4k x 4k),GIF Quantum LS,6gml,"Vos SM, Farnung L, Urlaub H, Cramer P",2018,Nature
EMD-0039,REL,Structure of paused transcription complex Pol II-DSIF-NELF,"Vos SM, Farnung L, Urlaub H, Cramer P",5/27/2018,9/5/2018,3.4,singleParticle,GATAN K2 QUANTUM (4k x 4k),GIF Quantum LS,,"Vos SM, Farnung L, Urlaub H, Cramer P",2018,Nature
EMD-0040,REL,Structure of paused transcription complex Pol II-DSIF-NELF (Map 3),"Vos SM, Farnung L, Urlaub H, Cramer P",5/27/2018,9/5/2018,3.4,singleParticle,GATAN K2 QUANTUM (4k x 4k),GIF Quantum LS,,"Vos SM, Farnung L, Urlaub H, Cramer P",2018,Nature
EMD-0041,REL,Structure of paused transcription complex Pol II-DSIF-NELF  (Map 4),"Vos SM, Farnung L, Urlaub H, Cramer P",5/27/2018,9/5/2018,3.9,singleParticle,GATAN K2 QUANTUM (4k x 4k),GIF Quantum LS,,"Vos SM, Farnung L, Urlaub H, Cramer P",2018,Nature
EMD-0042,REL,Structure of paused transcription complex Pol II-DSIF-NELF  (Map 5),"Vos SM, Farnung L, Urlaub H, Cramer P",5/27/2018,9/5/2018,3.3,singleParticle,GATAN K2 QUANTUM (4k x 4k),GIF Quantum LS,,"Vos SM, Farnung L, Urlaub H, Cramer P",2018,Nature
EMD-0043,REL,cryoEM structure of the lambdaN Transcription Antitermination Complex at 3.7 A resolution.,"Krupp F, Spahn C",5/30/2018,2/20/2019,3.7,singleParticle,GATAN K2 SUMMIT (4k x 4k),GIF Quantum LS,6gov,"Krupp F, Said N, Huang YH, Loll B, Burger J, Mielke T, Spahn CMT, Wahl MC",2019,Mol Cell
EMD-0044,REL,Cryo-tomography and subtomogram averaging of Sar1-Sec23-Sec24.,"Hutchings J, Zanetti G",5/30/2018,10/17/2018,4.9,subtomogramAveraging,GATAN K2 SUMMIT (4k x 4k),,6gni,"Hutchings J, Stancheva V, Miller EA, Zanetti G",2018,Nat Commun
EMD-0046,REL,Single Particle Cryo-EM map of human Transferrin receptor 1 - H-Ferritin complex at 5.5 Angstrom resolution.,"Testi C, Montemiglio LC, Vallone B, Des Georges A, Boffi A, Mancia F, Baiocco P",6/6/2018,3/27/2019,5.5,singleParticle,GATAN K2 SUMMIT (4k x 4k),,,"Montemiglio LC, Testi C, Ceci P, Falvo E, Pitea M, Savino C, Arcovito A, Peruzzi G, Baiocco P, Mancia F, Boffi A, des Georges A, Vallone B",2019,Nat Commun
EMD-0047,REL,Cryo-EM reconstruction of yeast 80S ribosome in complex with mRNA  tRNA and eEF2 (GMPPCP/sordarin),"Pellegrino S, Demeshkina N, Mancera-Martinez E, Melnikov S, Simonetti A, Myasnikov A, Yusupov M, Yusupova G, Hashem Y",6/7/2018,7/11/2018,4.4,singleParticle,FEI FALCON II (4k x 4k),,6gq1,"Pellegrino S, Demeshkina N, Mancera-Martinez E, Melnikov S, Simonetti A, Myasnikov A, Yusupov M, Yusupova G, Hashem Y",2018,J Mol Biol
EMD-0048,REL,Cryo-EM reconstruction of yeast 80S ribosome in complex with mRNA  tRNA and eEF2 (GDP+AlF4/sordarin),"Pellegrino S, Yusupov M, Yusupova G, Hashem Y",6/7/2018,7/11/2018,3.9,singleParticle,FEI FALCON II (4k x 4k),,6gqb,"Pellegrino S, Demeshkina N, Mancera-Martinez E, Melnikov S, Simonetti A, Myasnikov A, Yusupov M, Yusupova G, Hashem Y",2018,J Mol Biol
EMD-0049,REL,Cryo-EM recosntruction of yeast 80S ribosome in complex with mRNA  tRNA and eEF2 (GMPPCP),"Pellegrino S, Yusupov M, Yusupova G, Hashem Y",6/8/2018,7/11/2018,4,singleParticle,FEI FALCON II (4k x 4k),,6gqv,"Pellegrino S, Demeshkina N, Mancera-Martinez E, Melnikov S, Simonetti A, Myasnikov A, Yusupov M, Yusupova G, Hashem Y",2018,J Mol Biol
EMD-0050,REL,DNA-devoid HCIV-1 virus particle,"Santos-Perez I, Charro D, Gil-Carton D, Azkargorta M, Elortza F, Bamford DH, Oksanen HM, Abrescia NGA",6/13/2018,3/27/2019,14.9,singleParticle,FEI FALCON II (4k x 4k),,,"Santos-Perez I, Charro D, Gil-Carton D, Azkargorta M, Elortza F, Bamford DH, Oksanen HM, Abrescia NGA",2019,Nat Commun
EMD-0051,REL,Core Centromere Binding Factor 3 (CBF3) with monomeric Ndc10,"Zhang WJ, Lukoynova N, Vaughan CK",6/13/2018,8/1/2018,4.2,singleParticle,GATAN K2 SUMMIT (4k x 4k),,6gsa,"Zhang W, Lukoynova N, Miah S, Lucas J, Vaughan CK",2018,Cell Rep
EMD-0052,REL,Masked Core Centromere Binding Factor 3 (CBF3) with monomeric Ndc10,"Zhang WJ, Lukoynova N",6/13/2018,8/1/2018,4.4,singleParticle,GATAN K2 SUMMIT (4k x 4k),,,"Zhang W, Lukoynova N, Miah S, Lucas J, Vaughan CK",2018,Cell Rep
EMD-0054,REL,Feline Calicivirus Strain F9,"Conley MJ, Bhella D",6/14/2018,1/16/2019,3,singleParticle,FEI FALCON III (4k x 4k),,6gsh,"Conley MJ, McElwee M, Azmi L, Gabrielsen M, Byron O, Goodfellow IG, Bhella D",2019,Nature
EMD-0055,REL,Cryo-EM reconstruction of yeast 80S ribosome in complex with mRNA  tRNA and eEF2 (GDP+AlF4/sordarin): SSU-focused map,"Pellegrino S, Yusupov M, Yusupova G, Hashem Y",6/14/2018,7/11/2018,4.3,singleParticle,FEI FALCON II (4k x 4k),,,"Pellegrino S, Demeshkina N, Mancera-Martinez E, Melnikov S, Simonetti A, Myasnikov A, Yusupov M, Yusupova G, Hashem Y",2018,J Mol Biol
EMD-0056,REL,Feline Calicivirus Strain F9 bound to a soluble ectodomain fragment of feline junctional adhesion molecule A - leading to assembly of a portal structure at a unique three-fold axis.,"Conley MJ, Bhella D",6/14/2018,1/16/2019,3.8,singleParticle,FEI FALCON III (4k x 4k),,6gsi,"Conley MJ, McElwee M, Azmi L, Gabrielsen M, Byron O, Goodfellow IG, Bhella D",2019,Nature
EMD-0061,REL,Transition state structure of Cpf1(Cas12a) I1 conformation,"Mesa P, Montoya G",6/18/2018,12/19/2018,3.9,singleParticle,FEI FALCON III (4k x 4k),,6gtc,"Stella S, Mesa P, Thomsen J, Paul B, Alcon P, Jensen SB, Saligram B, Moses ME, Hatzakis NS, Montoya G",2018,Cell
EMD-0062,REL,Transient state structure of CRISPR-Cpf1 (Cas12a) I2 conformation,"Montoya G, Mesa P",6/18/2018,12/19/2018,4.2,singleParticle,FEI FALCON III (4k x 4k),,6gtd,"Stella S, Mesa P, Thomsen J, Paul B, Alcon P, Jensen SB, Saligram B, Moses ME, Hatzakis NS, Montoya G",2018,Cell
EMD-0063,REL,Transient state structure of CRISPR-Cpf1 (Cas12a) I3 conformation,"Montoya G, Mesa P, Stella S",6/18/2018,12/19/2018,4.1,singleParticle,FEI FALCON III (4k x 4k),,6gte,"Stella S, Mesa P, Thomsen J, Paul B, Alcon P, Jensen SB, Saligram B, Moses ME, Hatzakis NS, Montoya G",2018,Cell
EMD-0064,REL,Transition state I5 crispr-cpf1,"Montoya G, Mesa P, Stella S",6/18/2018,12/19/2018,3.6,singleParticle,FEI FALCON III (4k x 4k),,6gtf,"Stella S, Mesa P, Thomsen J, Paul B, Alcon P, Jensen SB, Saligram B, Moses ME, Hatzakis NS, Montoya G",2018,Cell
EMD-0065,REL,Transition state structure of Cpf1(Cas12a) I4 conformation,"Mesa P, Montoya G, Stella S",6/18/2018,12/19/2018,3.3,singleParticle,FEI FALCON III (4k x 4k),,6gtg,"Stella S, Mesa P, Thomsen J, Paul B, Alcon P, Jensen SB, Saligram B, Moses ME, Hatzakis NS, Montoya G",2018,Cell
EMD-0069,REL,High-resolution Cryo-EM of Fab-labeled human parechovirus 3,"Domanska A, Flatt JW, Jukonen JJJ, Geraets JA, Butcher SJ",6/20/2018,11/21/2018,2.8,singleParticle,FEI FALCON II (4k x 4k),,6gv4,"Domanska A, Flatt JW, Jukonen JJJ, Geraets JA, Butcher SJ",2019,J Virol
EMD-0072,REL,Localized reconstructed spike HCIV-1,"Santos-Perez I, Charro D, Gil-Carton D, Azkargorta M, Elortza F, Bamford DH, Oksanen HM, Abrescia NGA",6/22/2018,3/27/2019,18.2,singleParticle,FEI FALCON II (4k x 4k),,,"Santos-Perez I, Charro D, Gil-Carton D, Azkargorta M, Elortza F, Bamford DH, Oksanen HM, Abrescia NGA",2019,Nat Commun
EMD-0073,REL,Localized reconstructed spike HCIV-1,"Santos-Perez I, Charro D, Gil-Carton D, Azkargorta M, Elortza F, Bamford DH, Oksanen HM, Abrescia NGA",6/22/2018,3/27/2019,8.9,singleParticle,FEI FALCON II (4k x 4k),,,"Santos-Perez I, Charro D, Gil-Carton D, Azkargorta M, Elortza F, Bamford DH, Oksanen HM, Abrescia NGA",2019,Nat Commun
EMD-0076,REL,Cryo-EM structure of an E. coli 70S ribosome in complex with RF3-GDPCP  RF1(GAQ) and Pint-tRNA (State I),"Graf M, Huter P, Maracci C, Peterek M, Rodnina MV, Wilson DN",6/25/2018,8/15/2018,3.8,singleParticle,FEI FALCON II (4k x 4k),,6gwt,"Graf M, Huter P, Maracci C, Peterek M, Rodnina MV, Wilson DN",2018,Nat Commun
EMD-0077,REL,Narrow Pick Filament from Pick's disease brain,"Falcon B, Zhang W, Murzin AG, Murshudov G, Garringer HJ, Vidal R, Crowther RA, Ghetti B, Scheres SHW, Goedert M",6/26/2018,9/12/2018,3.2,helical,GATAN K2 QUANTUM (4k x 4k),GIF Quantum LS,6gx5,"Falcon B, Zhang W, Murzin AG, Murshudov G, Garringer HJ, Vidal R, Crowther RA, Ghetti B, Scheres SHW, Goedert M",2018,Nature
EMD-0078,REL,Wide Pick Filament from Pick's disease brain,"Falcon B, Zhang W, Murzin AG, Murshudov G, Garringer HJ, Vidal R, Crowther RA, Ghetti B, Scheres SHW, Goedert M",6/26/2018,9/12/2018,8,helical,GATAN K2 QUANTUM (4k x 4k),GIF Quantum LS,,"Falcon B, Zhang W, Murzin AG, Murshudov G, Garringer HJ, Vidal R, Crowther RA, Ghetti B, Scheres SHW, Goedert M",2018,Nature
EMD-0080,REL,Cryo-EM structure of an E. coli 70S ribosome in complex with RF3-GDPCP  RF1(GAQ) and Pint-tRNA (State II),"Graf M, Huter P, Maracci C, Peterek M, Rodnina MV, Wilson DN",6/27/2018,8/22/2018,3.8,singleParticle,FEI FALCON II (4k x 4k),,6gxm,"Graf M, Huter P, Maracci C, Peterek M, Rodnina MV, Wilson DN",2018,Nat Commun
EMD-0081,REL,Cryo-EM structure of an E. coli 70S ribosome in complex with RF3-GDPCP  RF1(GAQ) and Pint-tRNA (State III),"Graf M, Huter P, Maracci C, Peterek M, Rodnina MV, Wilson DN",6/27/2018,8/15/2018,3.9,singleParticle,FEI FALCON II (4k x 4k),,6gxn,"Graf M, Huter P, Maracci C, Peterek M, Rodnina MV, Wilson DN",2018,Nat Commun
EMD-0082,REL,Cryo-EM structure of a rotated E. coli 70S ribosome in complex with RF3-GDPCP  RF1(GAQ) and P/E-tRNA (State IV),"Graf M, Huter P, Maracci C, Peterek M, Rodnina MV, Wilson DN",6/27/2018,8/15/2018,3.9,singleParticle,FEI FALCON II (4k x 4k),,6gxo,"Graf M, Huter P, Maracci C, Peterek M, Rodnina MV, Wilson DN",2018,Nat Commun
EMD-0083,REL,Cryo-EM structure of a rotated E. coli 70S ribosome in complex with RF3-GDPCP(RF3-only),"Graf M, Huter P, Maracci C, Peterek M, Rodnina MV, Wilson DN",6/27/2018,8/15/2018,4.4,singleParticle,FEI FALCON II (4k x 4k),,6gxp,"Graf M, Huter P, Maracci C, Peterek M, Rodnina MV, Wilson DN",2018,Nat Commun
EMD-0088,REL,XaxAB pore complex from Xenorhabdus nematophila,"Schubert E, Vetter IR, Prumbaum D, Penczek PA, Raunser S",6/28/2018,7/25/2018,4,singleParticle,FEI FALCON III (4k x 4k),,6gy6,"Schubert E, Vetter IR, Prumbaum D, Penczek PA, Raunser S",2018,Elife
EMD-0089,REL,Cryo-EM structure of the bacteria-killing type IV secretion system core complex from Xanthomonas citri,"Costa TRD, Sgro GG, Farah CS, Waksman G",6/28/2018,10/24/2018,3.3,singleParticle,GATAN K2 QUANTUM (4k x 4k),,6gyb,"Sgro GG, Costa TRD, Cenens W, Souza DP, Cassago A, Coutinho de Oliveira L, Salinas RK, Portugal RV, Farah CS, Waksman G",2018,Nat Microbiol
EMD-0090,REL,Structure of a yeast closed complex (core CC1),"Dienemann C, Schwalb B, Schilbach S, Cramer P",6/30/2018,12/5/2018,5.1,singleParticle,GATAN K2 QUANTUM (4k x 4k),,6gyk,"Dienemann C, Schwalb B, Schilbach S, Cramer P",2019,Mol Cell
EMD-0091,REL,Structure of a yeast closed complex with distorted DNA (core CCdist),"Dienemann C, Schwalb B, Schilbach S, Cramer P",6/30/2018,12/5/2018,4.8,singleParticle,GATAN K2 QUANTUM (4k x 4k),,6gyl,"Dienemann C, Schwalb B, Schilbach S, Cramer P",2019,Mol Cell
EMD-0092,REL,Structure of a yeast closed complex with distorted DNA (CCdist),"Dienemann C, Schwalb B, Schilbach S, Cramer P",6/30/2018,12/5/2018,6.7,singleParticle,GATAN K2 QUANTUM (4k x 4k),,6gym,"Dienemann C, Schwalb B, Schilbach S, Cramer P",2019,Mol Cell
EMD-0095,REL,Cryo-EM structure of the CBF3-core-Ndc10-DBD complex of the budding yeast kinetochore,"Yan K, Zhang Z, Yang J, McLaughlin SH, Barford D",7/1/2018,12/5/2018,3.6,singleParticle,FEI FALCON III (4k x 4k),,6gyp,"Yan K, Zhang Z, Yang J, McLaughlin SH, Barford D",2018,Nat Struct Mol Biol
EMD-0096,REL,Cryo-EM structure of the CBF3-CEN3 complex of the budding yeast kinetochore,"Yan K, Zhang Z, Yang J, McLaughlin SH, Barford D",7/1/2018,12/5/2018,4.4,singleParticle,FEI FALCON III (4k x 4k),,6gys,"Yan K, Zhang Z, Yang J, McLaughlin SH, Barford D",2018,Nat Struct Mol Biol
EMD-0097,REL,Cryo-EM structure of the CBF3-msk complex of the budding yeast kinetochore,"Yan K, Zhang Z, Yang J, McLaughlin SH, Barford D",7/2/2018,12/5/2018,3,singleParticle,FEI FALCON III (4k x 4k),,6gyu,"Yan K, Zhang Z, Yang J, McLaughlin SH, Barford D",2018,Nat Struct Mol Biol
EMD-0098,REL,tRNA translocation by the eukaryotic 80S ribosome and the impact of GTP hydrolysis  Translocation-intermediate-POST-1 (TI-POST-1),"Flis J, Holm M, Rundlet EJ, Loerke J, Hilal T, Dabrowski M, Buerger J, Mielke T, Blanchard SC, Spahn CMT, Budkevich TV",7/3/2018,12/5/2018,3.6,singleParticle,GATAN K2 SUMMIT (4k x 4k),,6gz3,"Flis J, Holm M, Rundlet EJ, Loerke J, Hilal T, Dabrowski M, Burger J, Mielke T, Blanchard SC, Spahn CMT, Budkevich TV",2018,Cell Rep
EMD-0099,REL,tRNA translocation by the eukaryotic 80S ribosome and the impact of GTP hydrolysis  Translocation-intermediate-POST-2 (TI-POST-2),"Flis J, Holm M, Rundlet EJ, Loerke J, Hilal T, Dabrowski M, Buerger J, Mielke T, Blanchard SC, Spahn CMT, Budkevich TV",7/3/2018,12/5/2018,3.6,singleParticle,GATAN K2 SUMMIT (4k x 4k),,6gz4,"Flis J, Holm M, Rundlet EJ, Loerke J, Hilal T, Dabrowski M, Burger J, Mielke T, Blanchard SC, Spahn CMT, Budkevich TV",2018,Cell Rep
